                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.49471,                0.36936,                0.90457,                0.95338,                 0.9398,                0.96204,                0.81957,                0.64001,                0.38885,                0.93605,              9.112e-05,              9.112e-05,              9.112e-05
                     80,                0.48142,                0.35834,                0.89963,                0.96652,                0.91812,                0.96242,                 0.8263,                 0.6363,                0.39209,                0.93691,              8.716e-05,              8.716e-05,              8.716e-05
                     81,                 0.4749,                0.35149,                0.90271,                0.94828,                0.94644,                0.96333,                0.82026,                0.63927,                0.38447,                0.93724,               8.32e-05,               8.32e-05,               8.32e-05
                     82,                 0.4895,                0.35751,                0.90395,                  0.965,                0.93532,                0.96435,                0.82336,                0.64678,                0.37643,                0.94413,              7.924e-05,              7.924e-05,              7.924e-05
                     83,                 0.4721,                0.35293,                0.90474,                0.95952,                0.94534,                0.96868,                0.82391,                0.64067,                0.36883,                0.93748,              7.528e-05,              7.528e-05,              7.528e-05
                     84,                0.47827,                0.34459,                0.89624,                0.96492,                0.94094,                0.96887,                0.82501,                0.64224,                 0.3668,                0.94371,              7.132e-05,              7.132e-05,              7.132e-05
                     85,                0.47446,                0.34865,                 0.9005,                0.95969,                0.94565,                0.96466,                0.82258,                0.64084,                0.37809,                0.94131,              6.736e-05,              6.736e-05,              6.736e-05
                     86,                0.47032,                  0.336,                0.89973,                0.94219,                0.95396,                0.96445,                 0.8229,                0.63639,                0.38239,                0.94015,               6.34e-05,               6.34e-05,               6.34e-05
                     87,                0.46919,                0.34251,                0.89997,                0.95866,                0.93594,                0.96445,                 0.8262,                0.64002,                0.38642,                0.94044,              5.944e-05,              5.944e-05,              5.944e-05
                     88,                0.45778,                0.33694,                0.89423,                0.95536,                0.94371,                0.96302,                0.82317,                0.64139,                0.37114,                0.94102,              5.548e-05,              5.548e-05,              5.548e-05
                     89,                0.46305,                0.33668,                0.89581,                0.96005,                0.94196,                0.96558,                0.82465,                0.64452,                0.37685,                0.94501,              5.152e-05,              5.152e-05,              5.152e-05
                     90,                0.48001,                0.34089,                0.90697,                0.94642,                0.94338,                0.96526,                0.82721,                0.64639,                0.37159,                0.94684,              4.756e-05,              4.756e-05,              4.756e-05
                     91,                0.39886,                0.25433,                0.83376,                0.95821,                0.92613,                0.96528,                0.82094,                0.64383,                0.37754,                0.94511,               4.36e-05,               4.36e-05,               4.36e-05
                     92,                0.39205,                 0.2455,                0.83079,                0.95691,                0.92332,                0.96132,                0.81984,                0.64262,                0.39444,                0.94543,              3.964e-05,              3.964e-05,              3.964e-05
                     93,                0.38354,                0.24203,                0.82899,                 0.9617,                0.92861,                0.96613,                0.82258,                0.64681,                0.38298,                0.94954,              3.568e-05,              3.568e-05,              3.568e-05
                     94,                0.38775,                 0.2386,                0.82238,                0.96162,                0.92952,                0.96609,                0.82435,                0.64524,                0.38241,                0.94774,              3.172e-05,              3.172e-05,              3.172e-05
                     95,                0.37833,                0.23335,                0.83159,                0.95998,                0.92982,                0.96783,                 0.8269,                0.64313,                0.37737,                0.94792,              2.776e-05,              2.776e-05,              2.776e-05
                     96,                0.37477,                0.23207,                0.83054,                0.94766,                0.93598,                 0.9672,                0.82504,                0.64519,                0.38835,                0.94787,               2.38e-05,               2.38e-05,               2.38e-05
                     97,                0.37157,                 0.2271,                0.82622,                0.95751,                0.93227,                0.96672,                0.82551,                0.64411,                0.38561,                 0.9466,              1.984e-05,              1.984e-05,              1.984e-05
                     98,                0.37341,                0.22968,                0.83031,                0.95727,                0.93066,                0.96638,                0.82656,                0.64436,                0.38469,                0.94791,              1.588e-05,              1.588e-05,              1.588e-05
                     99,                0.36959,                0.22577,                0.82771,                0.94911,                0.93684,                0.96594,                 0.8235,                 0.6461,                  0.386,                0.94801,              1.192e-05,              1.192e-05,              1.192e-05
                    100,                0.36637,                0.22916,                 0.8236,                0.94256,                0.93926,                0.96553,                 0.8253,                0.64246,                0.38535,                 0.9452,               7.96e-06,               7.96e-06,               7.96e-06
